STox_2.1	STox_2
STox_6.1	STox_6
STox_37.1	STox_37
Tox-HNH-EHHH.1	STox_57
Tox-HNH-EHHH.2	STox_58
Tox-HNH-EHHH.3	STox_59
Tox-EndoU2.1	STox_60
Ntox19.1	Ntox19.st
Ntox18.1	Ntox18.st1
Ntox18.2	Ntox18.st2
Ntox49.1	Ntox49.st
Tox-Ribonuclease.1	Tox-Ribonuclease.st
STox_5.1	Ntox47.st2
STox_1.1	STox_1
STox_3.1	STox_3
STox_4.1	STox_4
STox_1.2	STox_55
Ntox_7.1	Ntox7.st
Ntox47.1	Ntox47.st1
STox_36.1	STox_36
STox_53.1	STox_53
Tox-CompNuc.1	STox_61
Tox-AHH.1	Tox-AHH.st1
Tox-AHH.2	Tox-AHH.st2
Tox-AHH.3	Tox-AHH.st3
Tox-AHH.4	Tox-AHH.st4
Tox-WHH.1	Tox-WHH.st1
Tox-WHH.2	Tox-WHH.st2
HNHGH-E.1	Tox-HNHGH-E.st
STox_54.1	STox_54
REase-7.1	Tox-REase-7.st
REase-3.1	Tox-REase-3_4.st
TseV	TseV
STox_40.1	CdiA_C.st
ParBL.1	ParBL.st1
ParBL.4	ParBL.st3
ParBL.2	ParBL.st2
STox_7.1	STox_7
Tox-URI1.1	Tox-URI1.st
Tox-URI2.1	Tox-URI2.st
STox_14.1	STox_14
Ntox34.1	Ntox34.st
Ntox44.1	Ntox44.st1
Ntox44.2	Ntox44.st2
STox_20.1	STox_20
Tox-JAB.1	ToxJAB2.st1
Tox-JAB.2	ToxJAB2.st2
STox_41.1	STox_41
STox_51.1	STox_51
Tox-HopH.1	Tox-HopH1.st
Peptidase_M4.1	Tox-Peptidase_M4.st
Peptidase_M23.1	Tox-Peptidase_M23.st
Tox-Caspase.1	Tox-Caspase.st
Tlde1.2	Tlde1.st2
Tlde1.1	Tlde1.st1
STox_44.1	STox_44
STox_48.1	EvpQ.st
Tae2.1	Tae2.st
Tae4.1	Tae4.st
STox_12.1	STox_12
STox_23.1	STox_23
CARP-ART.1	STox_62
STox_9.1	TreTu.st
STox_28.1	RhsP2.st
Tox-ART-HYD.1	Tox-ART-HYD.st
Tox-ART-HYD.2	Tox-ART-HYD3.st
STox_42.1	STox_42
STox_46.1	STox_46
STox_56.1	STox_56
STox_22.1	Tge2PP.st
STox_52.1	Pesticin.st
STox_50.1	STox_50
STox_15.1	STox_15
STox_16.1	TseH.st
STox_8	Tle1.st
STox_27.1	Tle3.st
STox_17.2	STox_17
STox_18.1	STox_18
STox13.1	VasX.st
STox_47.1	Ssp6.st
STox_10.1	ExoY.st
NAGPA.1	STox_35
STox_11.1	STox_11
STox_24.1	STox_24
STox_25.1	STox_25
STox_30.1	STox_30
STox_29.1	STox_29
STox_31.1	STox_31
STox_32.1	STox_32
STox_33.1	STox_33
STox_39.1	STox_39
STox_45.1	STox_45
STox_49.1	STox_49
